taxon	min	max
Acaulangium_bulbaceum	303.7	307
Angiopteris_lygodiifolia	0	0
Angiopteris_evecta	0	0
Angiopteris_itoi	0	0
Angiopteris_smithii	0	0
Angiopteris_boninensis	0	0
Angiopteris_tonkinensis	0	0
Araiangium_pygmaeum	303.7	307
Buritiranopteris_costata	259.1	298.9
Christensenia_aesculifolia	0	0
Convexocarpus_distichus	272.95	283.5
Danaea_elliptica	0	0
Danaea_grandifolia	0	0
Danaea_leprieurii	0	0
Danaea_nodosa	0	0
Danaeites_rigida	295	298.9
Danaeopsis_fecunda	201.3	208.5
Eoangiopteris_goodii	295	303.7
Escapia_christensenioides	132.9	139.8
Eupodium_kaulfussii	0	0
Eupodium_laeve	0	0
Floratheca_apokalyptica	283.5	298.9
Gemellitheca_saudica	251.9	272.95
Grandeuryella_renaultii	303.4	305.9
Marattia_aganzhenensis	174.1	201.3
Marattia_alata	0	0
Marattia_anglica	166.1	174.1
Marattia_asiatica	174.1	201.3
Marattia_douglasii	0	0
Marattia_excavata	0	0
Marattia_laxa	0	0
Marattiaceae_indet_Vera_2016	113	125
Marattiopsis_crenulatus	201.3	208.5
Marattiopsis_patagonica	177.27	189.036
Marattiopsis_vodrazkae	86.3	89.8
Millaya_tularosana	280	298.9
Ptisana_attenuata	0	0
Ptisana_fraxinea	0	0
Ptisana_mertensiana	0	0
Ptisana_melanesica	0	0
Ptisana_oreades	0	0
Ptisana_pellucida	0	0
Ptisana_purpurascens	0	0
Ptisana_squamosa	0	0
Ptisana_sylvatica	0	0
Qasimia_schyfsmae	268.8	272.95
Radstockia_kidstonii	306.95	311.45
Rothwellopteris_pecopteroides	251.9	259.1
Scolecopteris_alta_A	315.2	323.2
Scolecopteris_antarctica_L	237	247.2
Scolecopteris_calicifolia_L	307	315.2
Scolecopteris_charma_O	298.9	307
Scolecopteris_dispora	307	315.2
Scolecopteris_fragilis_L	307	315.2
Scolecopteris_guizhouensis	251.9	254.14
Scolecopteris_illinoensis	298.9	307
Scolecopteris_incisifolia_L	307	315.2
Scolecopteris_iowensis_O	307	315.2
Scolecopteris_latifolia_L	298.9	307
Scolecopteris_majopsis_O	307	315.2
Scolecopteris_mamayi_L	307	315.2
Scolecopteris_minor_M	298.9	307
Scolecopteris_monothrix_L	298.9	307
Scolecopteris_nigra_A	307	315.2
Scolecopteris_oliveri_O	295	298.9
Scolecopteris_parkerensis_L	298.9	307
Scolecopteris_parvifolia	298.9	307
Scolecopteris_saharaensis_M	307	315.2
Scolecopteris_shadensis	298.9	307
Scolecopteris_shanxiensis	290.1	298.9
Scolecopteris_vallumii_L	307	315.2
